InstalledCapacity,Area,TurbineCount,BetzPower,Province
2.3,2.772,1,1.245268975,ON
6,8.32,2,3.590659237,QC
78,101.707,52,47.40410585,ON
9.9,5.917,6,5.298710933,ON
26.4,57.184,16,12.69768257,SK
76,52.616,38,36.36861599,ON
350,153.438,175,192.6802964,QC
74.8,65.607,34,37.88418876,QC
0.65,0.83,1,0.252641002,ON
13.8,4.799,6,8.893448065,NS
1.99,3.212,1,1.492220251,NS
23.5,28.635,10,12.06927393,QC
24,9.111,8,8.643986703,QC
80,43.609,40,41.7738272,QC
339.7,138.798,161,137.8409726,QC
8,5.042,4,4.626316945,ON
15,11.114,5,7.764164366,BC
6.5,10.063,5,1.337443873,AB
9.48,10.231,5,6.165809913,ON
4.1,3.458,2,1.412954106,QC
10,7,5,6.234013986,ON
70.5,19.542,47,19.61581419,AB
30,25.32,10,7.537682129,ON
102,54.098,34,52.55430039,NS
2,2.163,1,1.12073766,NS
270,307.311,124,181.6521828,ON
2.1,2.817,2,0.467364951,NS
8.2,5.906,4,5.459787473,ON
34.5,32.752,15,28.1641059,ON
138,120.028,60,67.85228071,MB
120.45,111.12,73,74.83794022,MB
10.25,6.935,5,6.365754386,ON
124.38,138.517,56,62.42680569,ON
136,34.462,61,37.07549162,AB
11.22,11.164,17,5.139898316,SK
39.98,56.315,18,33.65238111,ON
69,34.718,37,23.06186473,AB
98.9,89.513,43,62.73111873,ON
75.2,25.315,32,27.49647646,QC
90,46.772,45,39.35516129,ON
0.6,0.605,1,0.224861894,ON
0.9,0.954,1,0.461943483,NS
4,4.107,2,1.925006121,NS
181.5,108.062,110,113.2093191,ON
101.05,61.06,43,33.56207159,QC
24.6,10.385,12,13.64329287,QC
9,9.442,5,7.309980113,ON
1.99,3.246,1,0.830423922,NS
3.78,21.387,6,1.060483671,AB
10,6.429,4,3.953089191,ON
1.5,1.93,1,0.670907875,NS
1.6,2.24,1,0.799032843,NS
20,10.239,10,10.08252322,SK
6.15,4.764,3,3.090142368,ON
4,4.774,2,1.880119442,NS
88,76.829,55,44.80182603,AB
197.8,85.841,86,85.17244348,ON
0.8,0.761,1,0.353266599,ON
