PowerDensity,CapacityDensity,TurbineDensity
0.748267078,0.916766082,0.565904989
1.758726142,3.164874912,1.507083291
0.511745216,1.662971175,0.554323725
0.708393279,1.848681958,0.577713112
1.281940705,2.295096942,1.530064628
0.871870841,2.813799853,0.937933284
1.179395042,1.324815262,0.721288309
1.140332275,3.2,1.6
0.576436721,1.220806794,0.530785563
0.32862026,0.584795322,0.365497076
0.31013728,0.528442648,0.310848617
0.881014591,1.845733742,1.230489162
0.637876961,1.226012793,0.533049041
0.562014094,1.023672425,0.639795266
0.686184644,0.861752842,0.366703337
0.777973484,8.219840438,2.739946813
1.054804098,1.226903541,0.601182735
0.444537702,0.604495747,0.303766707
0.964103211,1.412165036,0.784536131
0.884884563,3.015350877,1.005116959
0.675352436,0.820455963,0.512784977
0.959762362,1.243942393,0.767865675
0.739835095,1.330716926,0.821430201
0.423039093,1.259974801,0.6299874
0.263860747,0.605968331,0.304506699
0.11903916,0.803212851,1.338688086
0.616174887,1.06975381,0.622801876
1.668559107,2.684381779,1.49132321
1.254611892,2.427292073,1.618194715
0.901673569,5.096131573,6.949270327
0.852829371,4.068291933,2.537875875
0.373896271,1.062416999,1.328021248
0.885256062,0.979423868,0.450715266
1.881911485,2.989913545,1.66106308
0.414357967,0.710764001,0.309027827
0.694306061,1.342101731,0.671050866
0.731659846,1.751552795,0.745341615
1.306289575,3.093740332,2.062493555
1.185460517,0.59573956,1.083162835
0.535083928,0.928448885,0.403673428
1.374944634,2.131299981,0.929886554
1.164491333,2.295818679,0.976944119
0.292339254,0.91954023,1.149425287
0.790912889,6.532663317,5.025125628
0.517528899,0.920810313,0.460405157
1.100128169,1.893504705,1.147578609
0.275206754,0.664736246,1.00717613
1.263014115,2.19941349,1.46627566
0.364449821,1.121201928,0.560600964
0.659676823,2.09029714,0.908824843
0.399688784,1.281818182,0.545454545
0.288511788,1.063829787,1.329787234
2.086641599,3.661662395,2.441108263
0.406586964,4.425866732,1.475288911
0.988162376,1.511377919,0.810345968
0.398624956,0.565785153,0.353615721
0.525844264,0.911938099,0.506632277
0.750335238,1.536846124,0.95456281
0.875234598,1.509629607,1.006419738
0.616203764,0.931081183,0.517267324
0.374439345,1.432459533,0.716229767
0.177465987,0.841750842,1.122334456
0.665438008,1.662450307,0.722804481
0.587162147,1.324331343,0.779018437
0.262305464,0.636363636,0.454545455
0.402360521,1.647785788,2.059732235
1.029729813,3.01393947,1.506969735
0.336456906,1.66727075,0.362450163
0.661639969,2.576489533,1.317523057
0.99599259,1.674186654,0.712419853
0.761894425,1.223690651,0.611845326
0.469624867,0.819283506,0.483604847
0.080954893,0.201106083,0.251382604
1.216624052,3.368409633,1.464525928
0.227015792,0.79787234,1.329787234
0.637348861,1.14277971,0.496860743
0.394765655,0.522148993,0.321369544
1.147331684,1.824212272,0.79313577
1.329529793,1.724437646,0.69533776
0.614680736,0.919911611,0.414709177
0.49063426,0.666510784,0.278362339
0.434049477,1.210745365,0.756715853
